[2023-06-15T00:41:48.421Z] | ::1 | GET /api/dept/getDeptList?code=02 | Params: {} | Query: {"code":"02"} | Status: 200 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:42:00.162Z] | ::1 | DELETE /api/dept/deleteDept | Params: {} | Query: {} | Status: 400 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:42:19.819Z] | ::1 | DELETE /api/dept/deleteDept | Params: {} | Query: {} | Status: 200 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:42:24.319Z] | ::1 | DELETE /api/dept/deleteDept | Params: {} | Query: {} | Status: 200 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:42:28.941Z] | ::1 | GET /api/dept/getDeptList?code=02 | Params: {} | Query: {"code":"02"} | Status: 200 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:43:31.231Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:43:48.865Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 400 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:44:14.495Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:44:30.737Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:45:24.179Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:45:42.557Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:45:57.341Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 409 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:46:03.258Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:46:16.191Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:46:30.929Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:46:53.253Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:47:08.344Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:47:24.888Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 409 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:47:29.172Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:47:42.160Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:48:56.939Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:49:10.683Z] | ::1 | POST /api/user/register | Params: {} | Query: {} | Status: 201 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:49:31.400Z] | ::1 | GET /api/user/getUserList?pageIndex=2&pageSize=10 | Params: {} | Query: {"pageIndex":"2","pageSize":"10"} | Status: 401 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:49:36.361Z] | ::1 | GET /api/user/getUserList?pageIndex=2&pageSize=10 | Params: {} | Query: {"pageIndex":"2","pageSize":"10"} | Status: 200 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T00:49:59.078Z] | ::1 | GET /api/user/getUserList?pageIndex=1&pageSize=100 | Params: {} | Query: {"pageIndex":"1","pageSize":"100"} | Status: 200 | Response: - |  XSDCLGA-IzgayauQSXS4XnGz1PApi7ga 
[2023-06-15T03:54:56.133Z] | ::1 | GET /api/user/getUserList?pageIndex=1&pageSize=100 | Params: {} | Query: {"pageIndex":"1","pageSize":"100"} | Status: 401 | Response: - |  Fz0iR8W0XhCExWnTjR78t-ViUaE0mdoE 
[2023-06-15T03:55:01.538Z] | ::1 | POST /api/user/loginByCode | Params: {} | Query: {} | Status: 200 | Response: - |  Fz0iR8W0XhCExWnTjR78t-ViUaE0mdoE 
[2023-06-15T03:55:24.916Z] | ::1 | GET /api/user/getUserList?pageIndex=1&pageSize=100 | Params: {} | Query: {"pageIndex":"1","pageSize":"100"} | Status: 200 | Response: - |  Fz0iR8W0XhCExWnTjR78t-ViUaE0mdoE 
[2023-06-15T03:56:02.113Z] | ::1 | GET /api/user/getUserList?pageIndex=1&pageSize=10 | Params: {} | Query: {"pageIndex":"1","pageSize":"10"} | Status: 200 | Response: - |  Fz0iR8W0XhCExWnTjR78t-ViUaE0mdoE 
[2023-06-16T07:04:04.775Z] | ::1 | POST /api/user/loginByCode | Params: {} | Query: {} | Status: 200 | Response: - |  uynlIf6nqTofs5rDToadDd64Rs8iJ-RG 
[2023-06-16T07:05:57.135Z] | ::1 | POST /api/user/uploadBio | Params: {} | Query: {} | Status: 200 | Response: - |  uynlIf6nqTofs5rDToadDd64Rs8iJ-RG 
[2023-06-16T23:23:35.095Z] | ::1 | POST /api/user/loginByCode | Params: {} | Query: {} | Status: 200 | Response: - |  Hw5DpXSiyOBNI6l2enu3LLRBPciGdGdS 
[2023-06-16T23:25:28.631Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 500 | Response: - |  Hw5DpXSiyOBNI6l2enu3LLRBPciGdGdS 
[2023-06-16T23:52:02.088Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 400 | Response: - |  pej6ZJuLmxfBKwAaW2XaPP0me6r1aPIm 
[2023-06-16T23:52:26.472Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  pej6ZJuLmxfBKwAaW2XaPP0me6r1aPIm 
[2023-06-16T23:53:38.126Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 400 | Response: - |  ogst0IopdXkUuNtBk13Rrdoq0NoQosKz 
[2023-06-16T23:54:35.373Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 500 | Response: - |  o8Sl1O-cAAyAaf1p_xsDVeP2HbJTa1DZ 
[2023-06-16T23:55:30.793Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-16T23:57:29.476Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 400 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-16T23:59:53.643Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:00:16.210Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:00:28.344Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:00:45.548Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:01:07.672Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:02:04.877Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:04:37.816Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:04:58.056Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 400 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:05:04.982Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:05:23.572Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:05:44.309Z] | ::1 | POST /api/perm/createPerm | Params: {} | Query: {} | Status: 201 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:08:57.036Z] | ::1 | GET /api/perm/getPermLists | Params: {} | Query: {} | Status: 200 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:10:37.516Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code= | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":""} | Status: 200 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:11:11.810Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code=2&name=%E8%8E%B7%E5%8F%96%E5%88%97%E8%A1%A8 | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":"2","name":"获取列表"} | Status: 200 | Response: - |  M99NTIArzZzaMHCKfaY9qGVwuGW_5n7n 
[2023-06-17T00:13:36.592Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code=2&name=%E8%8E%B7%E5%8F%96%E5%88%97%E8%A1%A8 | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":"2","name":"获取列表"} | Status: 200 | Response: - |  4i6WgMzk4LyutsKysKlhhu1-_d6LHJKc 
[2023-06-17T00:17:15.175Z] | ::1 | GET /api/perm/getPermLists?btnId=34285bfb-d750-4fd0-8d22-275d61657eeb&code=2&name=%E8%8E%B7%E5%8F%96%E5%88%97%E8%A1%A8 | Params: {} | Query: {"btnId":"34285bfb-d750-4fd0-8d22-275d61657eeb","code":"2","name":"获取列表"} | Status: 500 | Response: - |  QO7Jg0uVJapgdOLScoJXRRHgciOf51Lb 
